name,artist,ALBUM_name,SERIES_name
"Born To Die","Lana Del Rey","Born To Die - The Paradise Edition",NULL
"National Anthem","Lana Del Rey","Born To Die - The Paradise Edition",NULL
"Video Games - Remastered","Lana Del Rey","Born To Die - The Paradise Edition",NULL
