name,artist,ALBUM_name,SERIES_name
"Born To Die","Lana Del Rey","Born To Die - The Paradise Edition",NULL
"National Anthem","Lana Del Rey","Born To Die - The Paradise Edition",NULL
"Video Games - Remastered","Lana Del Rey","Born To Die - The Paradise Edition",NULL
"Miracle Drug","U2","How to Dismantle an Atomic Bomb",NULL
"Original of the Species","U2","How to Dismantle an Atomic Bomb",NULL
